id,year,memnum,wrkslf,age,agekdbrn,degree,sex,class,polactions,racehisp
328,2006,NA,Self Employed,44,NA,Grad/Prof Degree,Male,Upper,NA,White
329,2006,NA,Work For Someone Else,46,18,HS Diploma,Female,Middle,NA,White
330,2006,NA,Work For Someone Else,26,NA,College Degree,Female,Middle,NA,White
331,2006,NA,NA,68,15,Less Than HS,Female,Middle,NA,White
332,2006,NA,NA,18,NA,HS Diploma,Male,Middle,NA,Other
333,2006,NA,Work For Someone Else,56,18,HS Diploma,Female,Working,NA,White
334,2006,NA,Work For Someone Else,23,NA,College Degree,Male,NA,NA,Black
335,2006,NA,Work For Someone Else,28,NA,HS Diploma,Male,Lower,NA,White
336,2006,NA,Work For Someone Else,77,28,College Degree,Female,Middle,NA,White
337,2006,NA,Work For Someone Else,39,NA,Some College,Male,NA,NA,White
338,2006,NA,Work For Someone Else,26,NA,HS Diploma,Male,Working,NA,Hispanic
339,2006,NA,Work For Someone Else,38,NA,College Degree,Female,Working,NA,Hispanic
340,2006,NA,Work For Someone Else,63,16,Grad/Prof Degree,Female,Middle,NA,Other
341,2006,NA,Self Employed,30,NA,HS Diploma,Male,Working,NA,Hispanic
342,2006,NA,Work For Someone Else,55,30,College Degree,Male,Middle,NA,White
343,2006,NA,Work For Someone Else,67,32,Grad/Prof Degree,Male,Lower,NA,White
344,2006,NA,NA,NA,NA,HS Diploma,Male,Working,NA,Hispanic
345,2006,NA,Work For Someone Else,26,NA,Some College,Female,Middle,NA,White
346,2006,NA,Work For Someone Else,37,NA,College Degree,Male,Middle,NA,Hispanic
347,2006,NA,Work For Someone Else,37,NA,HS Diploma,Female,Middle,NA,Black
348,2006,NA,Work For Someone Else,62,23,HS Diploma,Female,Middle,NA,White
349,2006,NA,NA,22,NA,Some College,Male,Upper,NA,White
350,2006,NA,Self Employed,46,NA,College Degree,Female,Middle,NA,White
351,2006,NA,Work For Someone Else,55,28,HS Diploma,Male,Working,NA,Black
352,2006,NA,Work For Someone Else,32,NA,College Degree,Female,Working,NA,Hispanic
353,2006,NA,Work For Someone Else,24,NA,HS Diploma,Female,NA,NA,White
354,2006,NA,Self Employed,38,NA,College Degree,Female,NA,NA,White
355,2006,NA,Work For Someone Else,56,NA,Grad/Prof Degree,Female,NA,NA,White
356,2006,NA,Self Employed,38,NA,Grad/Prof Degree,Male,NA,NA,Black
357,2006,NA,Work For Someone Else,23,NA,Less Than HS,Male,Middle,NA,White
358,2006,NA,NA,28,19,Less Than HS,Female,Working,NA,Hispanic
359,2006,NA,Work For Someone Else,30,NA,Less Than HS,Male,Working,NA,Hispanic
360,2006,NA,Work For Someone Else,50,NA,College Degree,Female,NA,NA,White
361,2006,NA,Work For Someone Else,36,NA,College Degree,Male,NA,NA,Hispanic
362,2006,NA,Work For Someone Else,48,30,Less Than HS,Female,Working,NA,Hispanic
363,2006,NA,Work For Someone Else,23,NA,Less Than HS,Male,NA,NA,Hispanic
364,2006,NA,NA,28,NA,Less Than HS,Female,NA,NA,Hispanic
365,2006,NA,Work For Someone Else,32,NA,HS Diploma,Female,NA,NA,Hispanic
366,2006,NA,Work For Someone Else,37,35,Less Than HS,Female,Working,NA,Hispanic
367,2006,NA,Work For Someone Else,34,16,Less Than HS,Male,Working,NA,Hispanic
368,2006,NA,Work For Someone Else,22,NA,HS Diploma,Male,NA,NA,Hispanic
369,2006,NA,Work For Someone Else,20,NA,HS Diploma,Female,Working,NA,Hispanic
370,2006,NA,NA,64,NA,Less Than HS,Male,NA,NA,Hispanic
371,2006,NA,Work For Someone Else,71,21,Less Than HS,Female,Working,NA,Black
372,2006,NA,Work For Someone Else,59,17,HS Diploma,Female,Working,NA,Black
373,2006,NA,Work For Someone Else,36,16,HS Diploma,Male,Working,NA,Black
374,2006,NA,Work For Someone Else,31,NA,Some College,Female,NA,NA,Black
375,2006,NA,Work For Someone Else,34,26,College Degree,Female,Middle,NA,Black
376,2006,NA,Work For Someone Else,59,23,HS Diploma,Female,Working,NA,Black
377,2006,NA,Work For Someone Else,83,20,Less Than HS,Female,Middle,NA,Black
378,2006,NA,Work For Someone Else,37,34,Some College,Male,Working,NA,Other
379,2006,NA,Work For Someone Else,25,NA,HS Diploma,Female,NA,NA,Hispanic
380,2006,NA,Work For Someone Else,32,29,Some College,Male,Middle,NA,Black
381,2006,NA,Work For Someone Else,27,NA,College Degree,Female,Working,NA,Other
382,2006,NA,Work For Someone Else,56,37,Grad/Prof Degree,Male,Middle,NA,White
383,2006,NA,Self Employed,61,NA,College Degree,Male,NA,NA,Other
384,2006,NA,Work For Someone Else,28,19,Some College,Female,Working,NA,Hispanic
385,2006,NA,Work For Someone Else,68,NA,HS Diploma,Female,NA,NA,Hispanic
386,2006,NA,Work For Someone Else,24,NA,HS Diploma,Female,Middle,NA,Hispanic
387,2006,NA,Self Employed,69,25,Less Than HS,Male,Working,NA,Hispanic
388,2006,NA,Work For Someone Else,53,20,Less Than HS,Female,Working,NA,Hispanic
389,2006,NA,NA,21,NA,Less Than HS,Female,NA,NA,Hispanic
390,2006,NA,Work For Someone Else,36,24,Less Than HS,Male,Middle,NA,Hispanic
391,2006,NA,Self Employed,32,17,Less Than HS,Male,Working,NA,Hispanic
392,2006,NA,NA,27,19,Less Than HS,Female,Working,NA,Hispanic
393,2006,NA,Work For Someone Else,65,21,HS Diploma,Female,Middle,NA,White
394,2006,NA,NA,29,21,Less Than HS,Female,Working,NA,Hispanic
395,2006,NA,Work For Someone Else,62,NA,HS Diploma,Female,Middle,NA,White
396,2006,NA,NA,36,NA,Less Than HS,Female,Working,NA,Hispanic
397,2006,NA,Work For Someone Else,22,NA,Less Than HS,Male,Working,NA,Hispanic
398,2006,NA,Work For Someone Else,35,21,HS Diploma,Male,Middle,NA,White
399,2006,NA,Work For Someone Else,49,22,HS Diploma,Male,Working,NA,Black
400,2006,NA,Work For Someone Else,18,NA,Less Than HS,Male,NA,NA,Hispanic
401,2006,NA,Work For Someone Else,26,NA,College Degree,Female,NA,NA,Black
402,2006,NA,Work For Someone Else,47,NA,HS Diploma,Male,NA,NA,Black
403,2006,NA,Work For Someone Else,48,22,Some College,Female,Working,NA,Black
404,2006,NA,Work For Someone Else,27,NA,HS Diploma,Male,Middle,NA,White
405,2006,NA,Work For Someone Else,23,NA,HS Diploma,Male,Working,NA,Hispanic
406,2006,NA,Self Employed,43,NA,HS Diploma,Male,Middle,NA,White
407,2006,NA,Work For Someone Else,32,NA,College Degree,Female,Middle,NA,White
408,2006,NA,Work For Someone Else,44,30,Some College,Male,Working,NA,Black
409,2006,NA,Work For Someone Else,21,NA,HS Diploma,Female,Upper,NA,White
410,2006,NA,Work For Someone Else,43,23,Some College,Female,Working,NA,Black
411,2006,NA,Work For Someone Else,28,NA,College Degree,Male,NA,NA,White
412,2006,NA,Work For Someone Else,36,16,HS Diploma,Female,Working,NA,Black
413,2006,NA,Work For Someone Else,42,26,Some College,Female,Middle,NA,Other
414,2006,NA,Work For Someone Else,58,34,Grad/Prof Degree,Female,Middle,NA,White
415,2006,NA,Work For Someone Else,55,NA,HS Diploma,Male,NA,NA,White
416,2006,NA,Work For Someone Else,38,30,College Degree,Male,Middle,NA,White
417,2006,NA,Work For Someone Else,40,29,College Degree,Female,Middle,NA,White
418,2006,NA,Work For Someone Else,68,20,HS Diploma,Female,Middle,NA,White
419,2006,NA,Work For Someone Else,48,NA,Grad/Prof Degree,Male,NA,NA,White
420,2006,NA,Work For Someone Else,72,30,HS Diploma,Male,Working,NA,White
421,2006,NA,Work For Someone Else,50,33,HS Diploma,Female,Working,NA,White
422,2006,NA,Work For Someone Else,66,NA,HS Diploma,Female,NA,NA,White
423,2006,NA,Work For Someone Else,38,33,Some College,Female,Middle,NA,White
424,2006,NA,Work For Someone Else,83,NA,HS Diploma,Male,NA,NA,White
425,2006,NA,Work For Someone Else,50,NA,HS Diploma,Female,Middle,NA,White
426,2006,NA,Self Employed,86,NA,Less Than HS,Female,NA,NA,White
427,2006,NA,Work For Someone Else,30,19,College Degree,Female,Middle,NA,Hispanic
428,2006,NA,Work For Someone Else,45,26,College Degree,Male,Middle,NA,White
429,2006,NA,Work For Someone Else,46,NA,HS Diploma,Female,NA,NA,White
430,2006,NA,Work For Someone Else,51,32,HS Diploma,Female,Middle,NA,White
431,2006,NA,NA,89,31,HS Diploma,Female,Middle,NA,White
432,2006,NA,Work For Someone Else,71,21,HS Diploma,Male,Working,NA,White
433,2006,NA,Work For Someone Else,53,NA,HS Diploma,Female,NA,NA,White
434,2006,NA,Work For Someone Else,62,NA,HS Diploma,Female,Middle,NA,White
435,2006,NA,Work For Someone Else,59,28,Grad/Prof Degree,Female,Middle,NA,White
436,2006,NA,Self Employed,20,NA,HS Diploma,Male,Middle,NA,White
437,2006,NA,Work For Someone Else,32,NA,HS Diploma,Male,NA,NA,White
438,2006,NA,Work For Someone Else,32,22,Some College,Female,Working,NA,White
439,2006,NA,Self Employed,33,NA,Grad/Prof Degree,Male,NA,NA,White
440,2006,NA,Work For Someone Else,40,29,Grad/Prof Degree,Female,Middle,NA,White
441,2006,NA,Self Employed,65,NA,HS Diploma,Male,NA,NA,White
442,2006,NA,Work For Someone Else,80,NA,HS Diploma,Female,NA,NA,White
443,2006,NA,Work For Someone Else,62,NA,HS Diploma,Female,NA,NA,White
444,2006,NA,Self Employed,60,NA,Grad/Prof Degree,Female,NA,NA,White
445,2006,NA,Work For Someone Else,78,18,Some College,Female,Lower,NA,Hispanic
446,2006,NA,Work For Someone Else,41,NA,HS Diploma,Male,NA,NA,White
447,2006,NA,Work For Someone Else,46,NA,Less Than HS,Male,NA,NA,Hispanic
448,2006,NA,Work For Someone Else,57,NA,HS Diploma,Male,NA,NA,White
449,2006,NA,Work For Someone Else,29,NA,College Degree,Male,Middle,NA,White
450,2006,NA,Work For Someone Else,32,NA,HS Diploma,Female,NA,NA,White
451,2006,NA,Work For Someone Else,42,36,Some College,Female,Middle,NA,White
452,2006,NA,Work For Someone Else,40,NA,HS Diploma,Female,NA,NA,White
453,2006,NA,Work For Someone Else,36,NA,HS Diploma,Female,NA,NA,Other
454,2006,NA,Work For Someone Else,48,NA,HS Diploma,Male,NA,NA,White
455,2006,NA,Work For Someone Else,83,NA,HS Diploma,Male,NA,NA,White
456,2006,NA,Work For Someone Else,65,NA,HS Diploma,Female,NA,NA,White
457,2006,NA,Work For Someone Else,18,NA,HS Diploma,Female,Middle,NA,White
458,2006,NA,Work For Someone Else,46,43,HS Diploma,Male,Middle,NA,White
459,2006,NA,Work For Someone Else,29,22,HS Diploma,Female,Working,NA,White
460,2006,NA,Work For Someone Else,26,NA,College Degree,Female,Working,NA,White
461,2006,NA,Work For Someone Else,49,34,HS Diploma,Female,Working,NA,White
462,2006,NA,Self Employed,77,25,HS Diploma,Female,Middle,NA,White
463,2006,NA,Self Employed,50,15,HS Diploma,Female,Working,NA,White
464,2006,NA,Self Employed,46,NA,HS Diploma,Male,NA,NA,White
465,2006,NA,Work For Someone Else,64,20,HS Diploma,Female,Middle,NA,White
466,2006,NA,Work For Someone Else,34,24,HS Diploma,Male,Working,NA,Hispanic
467,2006,NA,Work For Someone Else,40,NA,Less Than HS,Male,NA,NA,White
468,2006,NA,Work For Someone Else,20,NA,HS Diploma,Female,Working,NA,White
469,2006,NA,Work For Someone Else,33,NA,HS Diploma,Male,NA,NA,White
470,2006,NA,Work For Someone Else,27,NA,College Degree,Male,Middle,NA,White
471,2006,NA,Work For Someone Else,38,NA,Some College,Male,Middle,NA,White
472,2006,NA,Work For Someone Else,45,33,HS Diploma,Male,Working,NA,White
473,2006,NA,Work For Someone Else,38,20,Less Than HS,Female,Working,NA,Hispanic
474,2006,NA,Work For Someone Else,56,NA,Less Than HS,Female,NA,NA,Other
475,2006,NA,Work For Someone Else,41,NA,HS Diploma,Female,NA,NA,White
476,2006,NA,Work For Someone Else,61,NA,HS Diploma,Female,Lower,NA,White
477,2006,NA,Work For Someone Else,34,24,College Degree,Female,Middle,NA,White
478,2006,NA,Self Employed,56,NA,College Degree,Female,Middle,NA,White
479,2006,NA,Work For Someone Else,69,NA,Less Than HS,Female,NA,NA,White
480,2006,NA,Work For Someone Else,27,19,College Degree,Female,Working,NA,Black
481,2006,NA,Work For Someone Else,26,NA,College Degree,Male,Working,NA,Other
482,2006,NA,Work For Someone Else,54,34,HS Diploma,Female,Middle,NA,Black
483,2006,NA,Work For Someone Else,66,NA,College Degree,Male,NA,NA,Black
484,2006,NA,Work For Someone Else,70,22,HS Diploma,Female,Middle,NA,Black
485,2006,NA,Work For Someone Else,38,NA,Some College,Female,NA,NA,Hispanic
486,2006,NA,Work For Someone Else,31,NA,Grad/Prof Degree,Female,NA,NA,White
487,2006,NA,Work For Someone Else,50,19,Some College,Female,Middle,NA,White
488,2006,NA,Work For Someone Else,75,24,HS Diploma,Female,Working,NA,White
489,2006,NA,Work For Someone Else,39,NA,HS Diploma,Female,NA,NA,Black
490,2006,NA,Work For Someone Else,64,NA,HS Diploma,Female,NA,NA,White
491,2006,NA,Work For Someone Else,36,23,College Degree,Male,Middle,NA,White
492,2006,NA,Work For Someone Else,62,22,HS Diploma,Female,Working,NA,White
493,2006,NA,Work For Someone Else,62,23,Less Than HS,Male,Lower,NA,White
494,2006,NA,Work For Someone Else,80,NA,Less Than HS,Female,NA,NA,White
495,2006,NA,Work For Someone Else,50,NA,HS Diploma,Female,NA,NA,Black
496,2006,NA,Work For Someone Else,44,28,Less Than HS,Female,Working,NA,Hispanic
497,2006,NA,NA,30,15,Less Than HS,Female,Middle,NA,Hispanic
498,2006,NA,Work For Someone Else,40,NA,HS Diploma,Female,NA,NA,Hispanic
499,2006,NA,Work For Someone Else,29,NA,Less Than HS,Male,NA,NA,Hispanic
500,2006,NA,Work For Someone Else,53,26,HS Diploma,Female,Working,NA,Hispanic
501,2006,NA,Work For Someone Else,44,30,College Degree,Female,Middle,NA,Hispanic
502,2006,NA,Work For Someone Else,37,NA,College Degree,Male,Middle,NA,White
503,2006,NA,Work For Someone Else,22,NA,HS Diploma,Female,NA,NA,White
504,2006,NA,Work For Someone Else,38,29,College Degree,Female,Middle,NA,White
505,2006,NA,Work For Someone Else,48,38,College Degree,Female,Working,NA,Hispanic
506,2006,NA,Work For Someone Else,36,19,Some College,Male,Working,NA,Black
507,2006,NA,Work For Someone Else,33,21,Some College,Female,Middle,NA,White
508,2006,NA,Work For Someone Else,25,NA,HS Diploma,Female,Working,NA,White
509,2006,NA,Work For Someone Else,50,22,HS Diploma,Male,Working,NA,White
510,2006,NA,Work For Someone Else,40,NA,Less Than HS,Female,NA,NA,Hispanic
511,2006,NA,Work For Someone Else,36,NA,Less Than HS,Male,NA,NA,White
512,2006,NA,Work For Someone Else,48,25,College Degree,Male,Working,NA,Other
513,2006,NA,Work For Someone Else,32,NA,Less Than HS,Male,Working,NA,Hispanic
514,2006,NA,Work For Someone Else,27,NA,HS Diploma,Male,NA,NA,White
515,2006,NA,Work For Someone Else,36,NA,Less Than HS,Male,NA,NA,Hispanic
516,2006,NA,Work For Someone Else,19,NA,Less Than HS,Female,Middle,NA,Hispanic
517,2006,NA,Work For Someone Else,40,26,HS Diploma,Female,Middle,NA,White
518,2006,NA,Work For Someone Else,30,17,HS Diploma,Female,Working,NA,Hispanic
519,2006,NA,Self Employed,48,33,College Degree,Male,Middle,NA,White
520,2006,NA,Self Employed,27,NA,Some College,Male,Working,NA,White
521,2006,NA,Work For Someone Else,55,18,College Degree,Female,Working,NA,White
522,2006,NA,Self Employed,27,21,HS Diploma,Female,Working,NA,White
523,2006,NA,Work For Someone Else,55,23,Less Than HS,Male,Working,NA,Hispanic
524,2006,NA,Work For Someone Else,72,29,HS Diploma,Male,Working,NA,White
525,2006,NA,Work For Someone Else,48,NA,HS Diploma,Female,NA,NA,White
526,2006,NA,Work For Someone Else,55,18,HS Diploma,Male,Middle,NA,Hispanic
527,2006,NA,Work For Someone Else,62,37,Grad/Prof Degree,Male,Middle,NA,White
528,2006,NA,Self Employed,39,NA,HS Diploma,Female,NA,NA,White
529,2006,NA,Self Employed,76,23,College Degree,Male,Middle,NA,White
530,2006,NA,Work For Someone Else,63,23,College Degree,Female,Middle,NA,White
531,2006,NA,Work For Someone Else,46,20,HS Diploma,Female,Middle,NA,Hispanic
532,2006,NA,Work For Someone Else,54,NA,College Degree,Female,Middle,NA,Other
533,2006,NA,Work For Someone Else,46,NA,College Degree,Female,NA,NA,White
534,2006,NA,Work For Someone Else,41,NA,College Degree,Female,NA,NA,White
535,2006,NA,Self Employed,36,NA,College Degree,Female,Working,NA,Other
536,2006,NA,Work For Someone Else,72,NA,HS Diploma,Female,Middle,NA,White
537,2006,NA,Work For Someone Else,21,NA,HS Diploma,Male,Middle,NA,White
538,2006,NA,Self Employed,59,NA,Grad/Prof Degree,Male,NA,NA,White
539,2006,NA,Work For Someone Else,64,NA,College Degree,Female,NA,NA,White
540,2006,NA,Work For Someone Else,55,32,Grad/Prof Degree,Male,Middle,NA,Other
541,2006,NA,Work For Someone Else,64,NA,HS Diploma,Female,NA,NA,White
542,2006,NA,Work For Someone Else,34,28,HS Diploma,Male,Middle,NA,Other
543,2006,NA,Work For Someone Else,28,NA,Grad/Prof Degree,Female,Middle,NA,Other
544,2006,NA,Work For Someone Else,32,NA,College Degree,Male,Lower,NA,Other
545,2006,NA,NA,42,20,HS Diploma,Female,Lower,NA,Black
546,2006,NA,Self Employed,42,40,Grad/Prof Degree,Male,Middle,NA,Other
547,2006,NA,Work For Someone Else,59,NA,Grad/Prof Degree,Male,NA,NA,White
548,2006,NA,Work For Someone Else,36,NA,HS Diploma,Male,Working,NA,White
549,2006,NA,Work For Someone Else,49,NA,College Degree,Male,Middle,NA,Other
550,2006,NA,Work For Someone Else,59,33,HS Diploma,Male,Lower,NA,White
551,2006,NA,Work For Someone Else,62,22,College Degree,Male,Working,NA,White
552,2006,NA,Self Employed,55,NA,Grad/Prof Degree,Male,Middle,NA,White
553,2006,NA,Work For Someone Else,36,NA,Grad/Prof Degree,Male,Middle,NA,White
554,2006,NA,Work For Someone Else,49,23,HS Diploma,Female,Middle,NA,White
555,2006,NA,Self Employed,89,NA,Less Than HS,Male,NA,NA,White
556,2006,NA,Work For Someone Else,58,NA,HS Diploma,Male,NA,NA,White
557,2006,NA,Self Employed,29,NA,College Degree,Male,Middle,NA,White
558,2006,NA,Work For Someone Else,41,30,College Degree,Female,Middle,NA,White
559,2006,NA,Work For Someone Else,60,20,Some College,Male,Middle,NA,White
560,2006,NA,Work For Someone Else,49,NA,Some College,Female,NA,NA,Hispanic
561,2006,NA,Work For Someone Else,26,21,Less Than HS,Female,Middle,NA,Other
562,2006,NA,Work For Someone Else,40,26,HS Diploma,Female,Working,NA,White
563,2006,NA,Work For Someone Else,27,NA,HS Diploma,Male,NA,NA,Other
564,2006,NA,Work For Someone Else,37,NA,College Degree,Female,NA,NA,White
565,2006,NA,Work For Someone Else,56,40,Some College,Male,Middle,NA,White
566,2006,NA,Self Employed,79,NA,Less Than HS,Female,NA,NA,White
567,2006,NA,Work For Someone Else,41,NA,HS Diploma,Male,NA,NA,White
568,2006,NA,Work For Someone Else,41,21,Less Than HS,Female,Middle,NA,Hispanic
569,2006,NA,Work For Someone Else,45,NA,HS Diploma,Male,NA,NA,White
570,2006,NA,Self Employed,51,26,College Degree,Male,Middle,NA,White
571,2006,NA,Self Employed,60,27,Grad/Prof Degree,Male,Middle,NA,White
572,2006,NA,Work For Someone Else,52,NA,Some College,Female,Working,NA,White
573,2006,NA,NA,25,NA,HS Diploma,Female,Working,NA,Hispanic
574,2006,NA,Self Employed,57,NA,HS Diploma,Male,NA,NA,White
575,2006,NA,NA,19,NA,HS Diploma,Female,Working,NA,Other
576,2006,NA,Work For Someone Else,21,NA,HS Diploma,Male,Middle,NA,White
577,2006,NA,Work For Someone Else,88,NA,HS Diploma,Female,NA,NA,White
578,2006,NA,Self Employed,42,27,College Degree,Male,Middle,NA,White
579,2006,NA,Work For Someone Else,23,NA,HS Diploma,Male,NA,NA,Black
580,2006,NA,Work For Someone Else,33,30,HS Diploma,Female,Working,NA,Hispanic
581,2006,NA,Work For Someone Else,54,NA,HS Diploma,Male,Working,NA,Black
582,2006,NA,Work For Someone Else,64,NA,College Degree,Male,NA,NA,White
583,2006,NA,Work For Someone Else,54,31,HS Diploma,Female,Working,NA,White
584,2006,NA,Work For Someone Else,52,NA,College Degree,Female,NA,NA,Black
585,2006,NA,Work For Someone Else,37,NA,HS Diploma,Female,NA,NA,Black
586,2006,NA,Work For Someone Else,20,NA,HS Diploma,Male,NA,NA,White
587,2006,NA,Work For Someone Else,20,NA,HS Diploma,Female,NA,NA,White
588,2006,NA,Work For Someone Else,29,22,HS Diploma,Male,Working,NA,Hispanic
589,2006,NA,Work For Someone Else,22,NA,HS Diploma,Male,Middle,NA,Hispanic
590,2006,NA,Work For Someone Else,53,27,College Degree,Male,Middle,NA,Black
591,2006,NA,Work For Someone Else,25,23,HS Diploma,Female,Working,NA,White
592,2006,NA,Work For Someone Else,42,21,HS Diploma,Male,Middle,NA,White
593,2006,NA,Work For Someone Else,57,NA,Grad/Prof Degree,Female,Working,NA,Other
594,2006,NA,Work For Someone Else,28,NA,Less Than HS,Male,NA,NA,Hispanic
595,2006,NA,Work For Someone Else,43,19,Less Than HS,Female,Working,NA,White
596,2006,NA,Work For Someone Else,40,16,Less Than HS,Female,Working,NA,Black
597,2006,NA,Work For Someone Else,49,NA,HS Diploma,Female,NA,NA,White
598,2006,NA,Work For Someone Else,60,NA,HS Diploma,Male,NA,NA,White
599,2006,NA,Work For Someone Else,54,19,HS Diploma,Male,Middle,NA,White
600,2006,NA,Self Employed,40,NA,Less Than HS,Female,NA,NA,Hispanic
601,2006,NA,Work For Someone Else,41,NA,Some College,Female,NA,NA,White
602,2006,NA,Work For Someone Else,63,NA,HS Diploma,Male,NA,NA,White
603,2006,NA,Work For Someone Else,36,19,HS Diploma,Female,Working,NA,Hispanic
604,2006,NA,Work For Someone Else,47,NA,College Degree,Male,NA,NA,White
605,2006,NA,Work For Someone Else,64,20,HS Diploma,Female,Working,NA,White
606,2006,NA,Work For Someone Else,47,25,HS Diploma,Male,Middle,NA,White
607,2006,NA,Work For Someone Else,44,20,HS Diploma,Male,Middle,NA,White
608,2006,NA,Self Employed,66,NA,HS Diploma,Female,NA,NA,White
609,2006,NA,Work For Someone Else,47,21,HS Diploma,Male,Middle,NA,White
610,2006,NA,Work For Someone Else,24,NA,HS Diploma,Female,Middle,NA,White
611,2006,NA,Self Employed,48,21,HS Diploma,Female,Middle,NA,White
612,2006,NA,Work For Someone Else,42,NA,Some College,Female,NA,NA,White
613,2006,NA,Self Employed,75,27,HS Diploma,Male,Middle,NA,White
614,2006,NA,Work For Someone Else,50,29,College Degree,Male,Middle,NA,White
615,2006,NA,Work For Someone Else,49,24,College Degree,Female,Middle,NA,White
616,2006,NA,Self Employed,44,38,Less Than HS,Male,Middle,NA,White
617,2006,NA,Work For Someone Else,49,NA,HS Diploma,Male,NA,NA,White
618,2006,NA,Self Employed,60,21,HS Diploma,Male,Working,NA,White
619,2006,NA,Work For Someone Else,34,NA,Grad/Prof Degree,Female,Working,NA,White
620,2006,NA,Work For Someone Else,48,NA,HS Diploma,Male,Middle,NA,White
621,2006,NA,Work For Someone Else,50,18,HS Diploma,Male,Working,NA,Hispanic
622,2006,NA,Work For Someone Else,39,NA,College Degree,Female,Middle,NA,White
623,2006,NA,Work For Someone Else,49,NA,College Degree,Male,Middle,NA,White
624,2006,NA,Work For Someone Else,47,NA,HS Diploma,Male,Working,NA,White
625,2006,NA,Work For Someone Else,55,33,Grad/Prof Degree,Female,Middle,NA,White
626,2006,NA,Work For Someone Else,24,NA,Less Than HS,Female,NA,NA,Black
627,2006,NA,Work For Someone Else,54,20,Some College,Female,Working,NA,Black
628,2006,NA,Work For Someone Else,49,19,HS Diploma,Male,Middle,NA,Black
629,2006,NA,Self Employed,36,24,HS Diploma,Male,Middle,NA,Black
630,2006,NA,Work For Someone Else,48,25,HS Diploma,Male,Middle,NA,Black
631,2006,NA,Work For Someone Else,35,32,College Degree,Female,Lower,NA,Black
632,2006,NA,Work For Someone Else,42,21,HS Diploma,Female,Working,NA,Black
633,2006,NA,Work For Someone Else,64,21,HS Diploma,Female,Working,NA,Black
634,2006,NA,Work For Someone Else,50,23,College Degree,Male,Working,NA,Black
635,2006,NA,Work For Someone Else,55,16,Some College,Female,Lower,NA,Black
636,2006,NA,Work For Someone Else,53,20,Some College,Male,Middle,NA,Black
637,2006,NA,Work For Someone Else,40,30,Grad/Prof Degree,Female,Working,NA,Black
638,2006,NA,Self Employed,69,30,Less Than HS,Male,Middle,NA,White
639,2006,NA,Work For Someone Else,55,NA,HS Diploma,Female,NA,NA,Black
640,2006,NA,NA,21,NA,HS Diploma,Female,Middle,NA,White
641,2006,NA,Self Employed,62,22,HS Diploma,Male,Middle,NA,White
642,2006,NA,Work For Someone Else,47,NA,HS Diploma,Female,NA,NA,Black
643,2006,NA,Work For Someone Else,46,31,College Degree,Female,Working,NA,Other
644,2006,NA,Work For Someone Else,75,NA,College Degree,Male,NA,NA,Black
645,2006,NA,Work For Someone Else,67,21,Less Than HS,Male,Working,NA,Black
646,2006,NA,Work For Someone Else,82,29,HS Diploma,Female,Middle,NA,White
647,2006,NA,Work For Someone Else,33,NA,HS Diploma,Female,NA,NA,Black
648,2006,NA,Work For Someone Else,50,NA,College Degree,Female,NA,NA,Black
649,2006,NA,Work For Someone Else,61,24,Some College,Female,Middle,NA,White
650,2006,NA,Work For Someone Else,51,25,HS Diploma,Female,Working,NA,Black
651,2006,NA,Work For Someone Else,60,19,Less Than HS,Female,Working,NA,Black
652,2006,NA,Work For Someone Else,41,25,HS Diploma,Male,Working,NA,Black
653,2006,NA,Work For Someone Else,34,NA,Less Than HS,Male,NA,NA,White
654,2006,NA,Work For Someone Else,49,36,HS Diploma,Male,Working,NA,Black
655,2006,NA,Work For Someone Else,58,NA,Grad/Prof Degree,Female,NA,NA,Hispanic
656,2006,NA,Work For Someone Else,48,NA,HS Diploma,Female,NA,NA,Hispanic
657,2006,NA,Work For Someone Else,31,24,HS Diploma,Female,Working,NA,Black
658,2006,NA,Work For Someone Else,60,NA,Less Than HS,Female,Lower,NA,White
659,2006,NA,Work For Someone Else,52,NA,Some College,Female,NA,NA,Hispanic
660,2006,NA,Work For Someone Else,45,NA,Less Than HS,Male,NA,NA,Black
661,2006,NA,Work For Someone Else,18,NA,Less Than HS,Female,Middle,NA,Black
662,2006,NA,Work For Someone Else,35,34,HS Diploma,Male,Working,NA,White
663,2006,NA,Work For Someone Else,22,NA,HS Diploma,Male,Working,NA,Black
664,2006,NA,Work For Someone Else,60,20,HS Diploma,Female,Working,NA,White
665,2006,NA,Work For Someone Else,33,NA,College Degree,Female,Working,NA,White
666,2006,NA,Work For Someone Else,57,28,HS Diploma,Female,Middle,NA,White
667,2006,NA,Work For Someone Else,66,NA,Grad/Prof Degree,Female,Middle,NA,White
668,2006,NA,Work For Someone Else,66,27,College Degree,Female,Working,NA,White
669,2006,NA,Work For Someone Else,80,20,Less Than HS,Female,Working,NA,White
670,2006,NA,Work For Someone Else,51,21,HS Diploma,Male,Middle,NA,White
671,2006,NA,Work For Someone Else,41,17,HS Diploma,Female,Working,NA,Black
672,2006,NA,Self Employed,22,NA,Some College,Male,Middle,NA,White
673,2006,NA,Work For Someone Else,81,NA,HS Diploma,Female,NA,NA,White
674,2006,NA,Work For Someone Else,20,NA,HS Diploma,Female,Working,NA,White
675,2006,NA,Work For Someone Else,42,22,HS Diploma,Female,Working,NA,White
676,2006,NA,Work For Someone Else,51,NA,Some College,Male,NA,NA,White
