"age","born","opwlth","oppared","opeduc","opclout","oprace","oprelig","opsex","yearsusa","ophrdwrk_essential","opknow_essential"
76,"Native","Not Very Important","Fairly Important","Fairly Important","Not Very Important","Fairly Important","Not Very Important","Not Very Important",NA,0,0
72,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"Native","Fairly Important","Very Important","Essential","Not Very Important","Fairly Important","Not Very Important","Fairly Important",NA,0,0
29,"Native","Essential","Essential","Essential","Essential","Essential","Not Important At All","Essential",NA,1,1
59,"Native","Fairly Important","Fairly Important","Very Important","Fairly Important","Fairly Important","Not Very Important","Not Very Important",NA,0,0
33,"Native","Not Very Important","Fairly Important","Very Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
57,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"Native","Not Very Important","Very Important","Essential","Not Important At All","Not Important At All","Not Important At All","Not Important At All",NA,1,0
22,"Native","Very Important","Very Important","Essential","Not Very Important","Not Very Important","Not Important At All","Not Very Important",NA,0,0
62,"Native","Not Very Important","Very Important","Very Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,0,0
41,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,"Native","Fairly Important","Fairly Important","Very Important","Not Very Important","Not Very Important","Not Very Important","Fairly Important",NA,1,0
36,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"Native","Not Very Important","Not Important At All","Essential","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
19,"Native","Very Important","Very Important","Fairly Important","Fairly Important","Very Important","Fairly Important","Fairly Important",NA,0,1
32,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"Native","Not Important At All","Fairly Important","Fairly Important","Not Important At All","Not Important At All","Not Important At All","Not Important At All",NA,0,0
53,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"Immigrant",NA,NA,NA,NA,NA,NA,NA,20,NA,NA
39,"Immigrant",NA,NA,NA,NA,NA,NA,NA,12,NA,NA
25,"Native","Not Very Important","Not Important At All","Fairly Important","Not Very Important","Not Very Important","Not Very Important","Not Important At All",NA,0,0
78,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"Native",NA,NA,"Essential","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,1
28,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Native","Fairly Important","Fairly Important","Fairly Important","Fairly Important","Not Very Important","Not Very Important","Not Very Important",NA,0,0
80,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,"Native","Essential","Fairly Important","Essential","Fairly Important","Essential","Very Important","Not Very Important",NA,0,0
42,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"Native","Fairly Important","Fairly Important","Very Important","Fairly Important","Fairly Important","Fairly Important","Fairly Important",NA,1,0
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"Native","Not Very Important","Not Very Important","Essential","Not Very Important","Not Important At All","Not Very Important","Not Important At All",NA,1,0
80,"Native","Not Very Important","Very Important","Very Important","Not Very Important","Not Very Important","Not Important At All","Not Very Important",NA,0,0
58,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"Immigrant",NA,NA,NA,NA,NA,NA,NA,14,NA,NA
68,"Native","Fairly Important","Fairly Important","Very Important","Not Important At All","Very Important","Very Important","Very Important",NA,0,0
41,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"Native","Very Important","Very Important","Very Important","Not Very Important","Not Very Important","Not Very Important","Very Important",NA,1,0
29,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"Native",NA,"Fairly Important","Very Important","Fairly Important","Very Important","Very Important","Very Important",NA,0,0
21,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"Immigrant","Fairly Important","Very Important","Very Important","Not Very Important","Not Very Important","Not Very Important","Fairly Important",67,1,0
68,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"Immigrant",NA,NA,NA,NA,NA,NA,NA,10,NA,NA
35,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"Native","Fairly Important","Fairly Important","Fairly Important","Not Very Important","Fairly Important","Not Important At All","Fairly Important",NA,0,0
81,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"Native","Fairly Important","Very Important","Very Important","Not Very Important","Fairly Important","Not Very Important","Fairly Important",NA,0,0
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Native","Not Important At All","Not Very Important","Very Important","Not Important At All","Not Important At All","Not Important At All","Not Important At All",NA,1,0
53,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,"Native","Fairly Important","Very Important","Essential","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,0,0
57,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Immigrant",NA,NA,NA,NA,NA,NA,NA,30,NA,NA
38,"Native","Fairly Important","Essential","Very Important","Fairly Important","Not Important At All","Not Important At All","Not Important At All",NA,0,0
39,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"Native","Very Important","Fairly Important","Fairly Important","Fairly Important","Fairly Important","Not Very Important","Fairly Important",NA,0,0
83,"Native","Not Very Important","Fairly Important","Essential",NA,"Not Important At All","Not Important At All","Very Important",NA,1,0
62,"Native","Very Important","Very Important","Essential","Fairly Important","Not Important At All","Fairly Important","Not Important At All",NA,0,0
65,"Native","Not Important At All","Very Important","Very Important",NA,NA,"Very Important","Not Important At All",NA,0,0
73,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"Native","Fairly Important","Very Important","Very Important","Not Very Important","Not Important At All","Fairly Important","Not Important At All",NA,1,0
76,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Immigrant",NA,NA,NA,NA,NA,NA,NA,30,NA,NA
30,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,"Native","Not Very Important","Fairly Important","Very Important","Not Very Important","Fairly Important","Fairly Important","Fairly Important",NA,0,0
63,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,"Native","Very Important","Very Important","Very Important","Very Important","Not Very Important","Fairly Important","Not Very Important",NA,0,0
22,"Native","Very Important","Fairly Important","Very Important","Not Very Important","Not Very Important","Not Important At All","Not Important At All",NA,1,0
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,"Native","Not Important At All","Not Important At All","Not Important At All",NA,NA,NA,"Not Important At All",NA,0,0
61,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Native","Fairly Important","Fairly Important","Very Important","Fairly Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
31,"Immigrant","Very Important","Very Important","Essential","Fairly Important",NA,"Not Very Important","Not Very Important",8,0,0
56,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"Native","Fairly Important","Very Important","Essential","Not Very Important","Not Important At All","Not Important At All","Fairly Important",NA,1,0
65,"Native","Not Very Important","Fairly Important","Fairly Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,0,0
34,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"Native","Fairly Important","Very Important","Fairly Important","Not Very Important","Not Very Important","Not Important At All","Fairly Important",NA,1,0
NA,"Native","Fairly Important","Fairly Important","Very Important","Not Very Important","Not Very Important","Essential","Fairly Important",NA,1,0
61,"Native","Not Very Important","Fairly Important","Fairly Important","Fairly Important","Fairly Important","Not Very Important","Fairly Important",NA,1,0
37,"Native","Not Very Important","Fairly Important","Fairly Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
58,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"Native","Fairly Important","Very Important","Essential","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
33,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,"Native","Fairly Important","Very Important","Very Important",NA,"Fairly Important","Not Very Important","Fairly Important",NA,0,0
71,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,"Native","Fairly Important","Very Important","Essential","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,1
24,"Immigrant","Very Important","Fairly Important","Very Important","Very Important","Not Very Important","Not Very Important","Very Important",1,0,0
41,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,"Native","Fairly Important","Fairly Important","Essential","Not Very Important","Fairly Important","Not Important At All","Not Very Important",NA,1,0
36,"Native","Very Important","Very Important","Fairly Important","Very Important","Very Important","Not Very Important","Very Important",NA,0,1
61,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,"Immigrant","Not Very Important","Fairly Important",NA,"Very Important","Not Very Important","Not Important At All","Not Important At All",68,0,0
38,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Immigrant",NA,NA,NA,NA,NA,NA,NA,5,NA,NA
70,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"Immigrant",NA,NA,NA,NA,NA,NA,NA,10,NA,NA
67,"Native","Not Important At All","Fairly Important","Essential","Not Important At All","Not Important At All","Not Important At All","Not Very Important",NA,1,0
23,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,"Native","Very Important","Fairly Important","Very Important","Not Very Important","Not Important At All","Not Important At All","Very Important",NA,0,0
50,"Native","Fairly Important","Fairly Important","Fairly Important","Not Important At All","Not Important At All","Not Important At All","Essential",NA,0,0
69,"Native","Fairly Important","Not Very Important","Fairly Important","Not Very Important","Not Important At All","Not Important At All","Essential",NA,0,0
50,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Native","Not Very Important","Not Very Important","Very Important","Not Important At All","Not Important At All","Not Important At All","Not Important At All",NA,1,0
36,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"Native","Not Very Important","Fairly Important","Very Important","Not Important At All","Not Important At All","Not Important At All","Not Important At All",NA,1,0
60,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"Native",NA,"Fairly Important","Essential","Fairly Important","Not Important At All","Not Important At All","Not Important At All",NA,0,0
NA,"Native","Very Important","Very Important","Very Important","Fairly Important","Not Very Important","Fairly Important","Essential",NA,0,0
18,"Native","Very Important","Fairly Important","Essential","Fairly Important","Fairly Important","Not Very Important","Fairly Important",NA,0,1
46,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,"Native","Very Important","Very Important","Essential","Fairly Important","Fairly Important",NA,"Fairly Important",NA,1,0
43,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Immigrant",NA,NA,NA,NA,NA,NA,NA,42,NA,NA
65,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"Native","Not Important At All","Very Important","Very Important","Not Very Important","Very Important","Very Important","Very Important",NA,0,0
82,"Immigrant","Fairly Important","Fairly Important","Fairly Important","Very Important","Not Very Important","Fairly Important","Not Very Important",28,0,0
52,"Native","Fairly Important","Fairly Important","Essential","Not Very Important","Fairly Important","Not Important At All","Not Very Important",NA,1,0
25,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,"Immigrant",NA,NA,NA,NA,NA,NA,NA,74,NA,NA
57,"Native","Not Very Important","Fairly Important","Very Important","Fairly Important","Very Important","Very Important","Fairly Important",NA,0,1
52,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"Native","Not Very Important","Fairly Important","Very Important","Fairly Important","Not Important At All","Not Important At All","Not Important At All",NA,0,0
58,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,"Native","Essential","Very Important","Very Important","Not Very Important","Very Important","Not Very Important","Fairly Important",NA,1,0
26,"Native","Fairly Important","Very Important","Essential","Very Important","Fairly Important","Not Important At All","Not Important At All",NA,1,1
46,"Immigrant",NA,NA,NA,NA,NA,NA,NA,40,NA,NA
83,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Native","Not Very Important","Not Very Important","Essential","Not Important At All","Not Important At All","Not Important At All","Not Important At All",NA,1,0
68,"Native","Not Very Important","Very Important","Very Important","Fairly Important","Not Important At All",NA,"Not Important At All",NA,1,0
47,"Immigrant","Very Important","Very Important","Essential","Fairly Important","Not Very Important","Not Important At All","Not Important At All",21,0,0
30,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"Immigrant",NA,NA,NA,NA,NA,NA,NA,31,NA,NA
22,"Native","Fairly Important",NA,"Fairly Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important",NA,0,1
35,"Native","Very Important","Fairly Important","Fairly Important","Not Very Important","Fairly Important","Not Very Important","Fairly Important",NA,0,0
47,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"Native","Not Very Important","Fairly Important","Very Important","Fairly Important","Not Important At All","Not Important At All","Not Important At All",NA,0,0
57,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,"Native","Not Very Important","Fairly Important","Essential","Fairly Important","Not Important At All","Not Important At All","Not Important At All",NA,0,0
44,"Native","Not Very Important","Very Important","Very Important","Very Important","Not Important At All","Not Important At All","Not Important At All",NA,0,0
45,"Native","Very Important","Very Important","Essential","Fairly Important","Fairly Important","Not Very Important","Fairly Important",NA,1,0
38,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"Immigrant",NA,NA,NA,NA,NA,NA,NA,4,NA,NA
22,"Native","Essential","Essential","Essential","Essential","Not Important At All","Not Important At All","Not Important At All",NA,1,1
65,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"Immigrant","Essential","Essential","Essential","Essential","Fairly Important","Not Very Important","Fairly Important",15,0,1
56,"Native","Not Very Important","Very Important","Very Important","Not Very Important","Not Very Important","Not Very Important","Fairly Important",NA,0,0
NA,"Immigrant",NA,NA,NA,NA,NA,NA,NA,16,NA,NA
NA,"Immigrant",NA,NA,NA,NA,NA,NA,NA,18,NA,NA
NA,"Native","Essential","Very Important","Fairly Important","Very Important","Very Important",NA,"Very Important",NA,0,0
60,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"Native","Very Important","Very Important","Very Important","Fairly Important","Not Very Important","Not Important At All","Not Very Important",NA,0,0
54,"Immigrant",NA,"Fairly Important","Very Important","Not Very Important","Not Important At All","Not Very Important","Not Important At All",35,0,0
61,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"Native","Fairly Important","Very Important","Essential","Not Very Important","Not Very Important","Not Very Important","Not Important At All",NA,1,0
84,"Native","Not Very Important","Fairly Important","Very Important","Not Very Important","Fairly Important","Not Very Important","Fairly Important",NA,0,0
46,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"Native",NA,"Fairly Important","Essential","Not Very Important","Not Very Important","Not Important At All","Essential",NA,1,0
56,"Native","Very Important","Not Very Important","Not Important At All","Fairly Important","Not Important At All","Not Important At All","Not Important At All",NA,0,1
56,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"Immigrant",NA,NA,NA,NA,NA,NA,NA,18,NA,NA
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"Native","Not Very Important","Fairly Important","Very Important","Fairly Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
54,"Native","Fairly Important","Fairly Important","Essential","Fairly Important","Essential","Not Very Important","Essential",NA,1,0
26,"Native","Very Important","Not Very Important","Fairly Important","Essential","Very Important","Fairly Important","Very Important",NA,0,1
58,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,"Native","Very Important","Very Important","Essential","Not Very Important","Fairly Important","Not Very Important","Very Important",NA,1,0
76,"Native","Not Important At All","Very Important","Very Important","Not Important At All","Very Important","Not Important At All","Very Important",NA,0,0
79,"Native","Very Important","Very Important","Very Important","Very Important","Fairly Important",NA,"Not Very Important",NA,0,0
67,"Native","Very Important","Very Important","Essential","Very Important","Fairly Important","Not Important At All","Fairly Important",NA,1,0
38,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"Native","Not Very Important","Very Important","Very Important","Not Important At All","Not Important At All","Not Important At All","Not Important At All",NA,1,0
48,"Native","Fairly Important","Very Important","Essential","Not Very Important","Fairly Important","Not Very Important","Not Very Important",NA,0,0
72,"Native","Not Important At All","Not Very Important","Very Important","Not Very Important","Not Very Important","Not Important At All","Not Very Important",NA,1,0
51,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,"Native","Not Important At All","Fairly Important","Fairly Important","Not Very Important","Not Important At All","Not Important At All","Fairly Important",NA,0,0
51,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"Immigrant",NA,NA,NA,NA,NA,NA,NA,6,NA,NA
40,"Immigrant",NA,NA,NA,NA,NA,NA,NA,20,NA,NA
37,"Immigrant",NA,NA,NA,NA,NA,NA,NA,9,NA,NA
19,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"Native","Very Important","Very Important","Very Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
49,"Immigrant","Essential","Very Important","Very Important","Not Very Important","Very Important","Very Important","Essential",22,1,1
73,"Native","Not Very Important","Fairly Important","Essential","Not Very Important","Not Very Important","Not Important At All","Fairly Important",NA,0,0
74,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Native","Essential","Very Important","Very Important","Fairly Important","Fairly Important","Not Very Important","Fairly Important",NA,0,0
56,"Native",NA,"Essential","Essential",NA,"Not Very Important","Not Very Important","Not Important At All",NA,1,1
76,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,"Native","Fairly Important","Very Important","Essential","Not Very Important","Not Very Important","Not Very Important","Fairly Important",NA,1,0
NA,"Immigrant","Fairly Important","Very Important","Essential","Fairly Important","Not Very Important","Not Very Important","Not Important At All",30,1,0
76,"Native","Very Important","Very Important","Essential","Fairly Important","Essential","Not Important At All",NA,NA,1,0
41,"Native","Not Very Important","Fairly Important","Very Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
31,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"Native","Very Important","Fairly Important","Essential","Not Very Important","Very Important","Very Important","Very Important",NA,0,0
30,"Native","Not Important At All","Not Important At All","Essential","Not Important At All","Not Important At All","Fairly Important","Fairly Important",NA,1,0
31,"Native","Essential","Essential","Very Important","Very Important","Very Important","Very Important","Very Important",NA,0,0
54,"Native","Not Very Important","Not Important At All","Fairly Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
78,"Native","Fairly Important","Very Important","Very Important","Fairly Important","Fairly Important","Not Important At All","Not Very Important",NA,1,0
68,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"Immigrant",NA,NA,NA,NA,NA,NA,NA,12,NA,NA
41,"Immigrant",NA,NA,NA,NA,NA,NA,NA,5,NA,NA
65,"Immigrant",NA,NA,NA,NA,NA,NA,NA,35,NA,NA
31,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Immigrant","Fairly Important","Essential","Essential","Fairly Important","Essential","Essential","Not Important At All",56,1,1
21,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"Immigrant","Fairly Important","Very Important","Essential","Not Very Important","Fairly Important","Not Very Important","Fairly Important",20,1,0
54,"Native","Not Very Important","Fairly Important","Essential","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
46,"Native","Not Very Important","Not Very Important","Essential","Not Important At All","Fairly Important","Not Important At All","Not Important At All",NA,1,0
67,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Native","Not Very Important","Not Very Important","Fairly Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,0,0
58,"Native","Not Very Important","Not Very Important","Essential","Not Very Important","Not Very Important","Not Very Important","Not Very Important",NA,0,0
43,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"Native","Fairly Important","Very Important","Very Important","Not Important At All","Not Important At All","Fairly Important","Fairly Important",NA,0,0
53,"Native","Not Important At All","Fairly Important","Essential","Fairly Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
29,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,"Immigrant",NA,NA,NA,NA,NA,NA,NA,66,NA,NA
61,"Immigrant",NA,NA,NA,NA,NA,NA,NA,45,NA,NA
44,"Native","Fairly Important","Fairly Important","Very Important","Fairly Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
46,"Native","Not Very Important","Fairly Important","Very Important","Not Very Important","Fairly Important","Not Very Important","Fairly Important",NA,0,1
24,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"Native","Not Very Important","Fairly Important","Essential","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
53,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"Native","Fairly Important","Fairly Important","Fairly Important","Not Very Important","Essential","Fairly Important","Very Important",NA,0,0
47,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"Native","Fairly Important","Essential","Very Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,0,0
47,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"Immigrant","Not Very Important","Fairly Important","Essential","Fairly Important","Not Important At All","Not Important At All",NA,55,0,0
59,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Native","Not Important At All","Very Important","Very Important","Not Important At All","Not Important At All","Not Important At All","Not Important At All",NA,0,0
66,"Native","Fairly Important","Fairly Important","Very Important","Fairly Important","Fairly Important","Not Very Important","Fairly Important",NA,0,0
26,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"Native","Essential","Fairly Important","Not Very Important",NA,"Fairly Important","Fairly Important","Fairly Important",NA,0,0
69,"Immigrant","Very Important","Very Important",NA,"Very Important","Fairly Important","Not Very Important","Essential",30,0,0
NA,"Immigrant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"Native","Very Important","Essential","Fairly Important","Not Very Important","Fairly Important","Not Important At All","Not Very Important",NA,0,0
53,"Native","Not Important At All","Fairly Important","Very Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
55,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"Native","Fairly Important","Fairly Important","Very Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,0,0
68,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"Native","Not Very Important","Very Important","Essential","Not Important At All","Not Important At All","Not Important At All","Not Important At All",NA,0,1
28,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"Native","Fairly Important","Very Important","Essential","Fairly Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
31,"Native","Very Important","Very Important","Very Important","Very Important","Fairly Important","Fairly Important","Fairly Important",NA,0,0
54,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,"Native","Fairly Important","Very Important","Very Important","Not Very Important","Not Very Important","Not Very Important","Not Very Important",NA,1,0
39,"Immigrant",NA,NA,NA,NA,NA,NA,NA,4,NA,NA
39,"Native","Not Important At All","Not Very Important","Very Important","Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
59,"Native","Not Very Important","Fairly Important","Very Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
66,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
