abany,year,class,courts,nateduc,region,born,racehisp,sex,degree,marital,wrkslf
Yes,2010,Middle class,About right,Too little,Mid Atlantic,Yes,White,Male,Graduate,Div/Sep,Someone else
Yes,2010,Middle class,Not harsh enough,NA,Mid Atlantic,Yes,White,Female,Junior college,Widowed,Someone else
NA,2010,Middle class,NA,Too little,Mid Atlantic,Yes,White,Female,Bachelor,Div/Sep,Someone else
Yes,2010,Working class,About right,NA,Mid Atlantic,Yes,White,Female,High school,Married,Someone else
NA,2010,Middle class,NA,Too little,Mid Atlantic,Yes,White,Female,Graduate,Married,Someone else
No,2010,Working class,NA,Too little,Mid Atlantic,Yes,White,Male,Bachelor,Married,Someone else
NA,2010,Working class,Not harsh enough,NA,New England,Yes,White,Female,High school,Married,Someone else
Yes,2010,Working class,Not harsh enough,NA,New England,Yes,White,Male,High school,Married,Self-employed
Yes,2010,Working class,Not harsh enough,Too little,New England,Yes,White,Male,High school,Div/Sep,Self-employed
No,2010,Middle class,Not harsh enough,Too much,New England,Yes,White,Male,Bachelor,Widowed,Someone else
NA,2010,Middle class,Not harsh enough,NA,New England,Yes,White,Female,High school,Married,Someone else
No,2010,Working class,About right,Too little,New England,Yes,White,Male,Lt high school,Div/Sep,Self-employed
NA,2010,Middle class,About right,NA,New England,Yes,White,Male,Graduate,Married,Self-employed
NA,2010,Middle class,About right,NA,New England,Yes,White,Female,High school,Widowed,Someone else
Yes,2010,Working class,Not harsh enough,About right,New England,Yes,White,Male,Lt high school,Never Married,NA
Yes,2010,Middle class,Not harsh enough,NA,New England,Yes,White,Female,High school,Widowed,Someone else
NA,2010,Middle class,Not harsh enough,About right,New England,Yes,White,Female,Graduate,Never Married,Self-employed
Yes,2010,Working class,About right,Too little,New England,Yes,White,Male,High school,Married,Someone else
No,2010,Middle class,About right,NA,New England,Yes,White,Male,Bachelor,Div/Sep,Someone else
NA,2010,Working class,About right,NA,New England,Yes,White,Male,High school,Married,Someone else
Yes,2010,Working class,Not harsh enough,Too much,New England,Yes,White,Male,Junior college,Married,Someone else
Yes,2010,Middle class,Not harsh enough,NA,New England,Yes,White,Female,High school,Div/Sep,Self-employed
NA,2010,Middle class,Not harsh enough,Too little,New England,Yes,White,Female,Lt high school,Married,Someone else
Yes,2010,Middle class,Not harsh enough,About right,Mid Atlantic,Yes,White,Male,High school,Div/Sep,Self-employed
NA,2010,Working class,Not harsh enough,Too little,Mid Atlantic,Yes,White,Female,High school,Married,Someone else
No,2010,Working class,About right,Too little,Mid Atlantic,Yes,White,Female,High school,Married,NA
NA,2010,Working class,Not harsh enough,NA,Mid Atlantic,Yes,White,Female,High school,Married,Someone else
No,2010,Lower class,Too harsh,NA,Mid Atlantic,Yes,White,Female,High school,Married,Someone else
NA,2010,Upper class,Not harsh enough,About right,Mid Atlantic,Yes,White,Female,Bachelor,Widowed,NA
No,2010,Working class,About right,NA,Mid Atlantic,Yes,White,Male,High school,Married,Someone else
NA,2010,Working class,Not harsh enough,NA,Mid Atlantic,Yes,White,Female,High school,Married,Someone else
Yes,2010,Working class,About right,NA,Mid Atlantic,Yes,White,Male,High school,Never Married,Someone else
Yes,2010,Working class,Not harsh enough,Too little,Mid Atlantic,Yes,White,Male,High school,Div/Sep,Someone else
NA,2010,Middle class,Not harsh enough,NA,Mid Atlantic,Yes,White,Female,High school,Married,Someone else
No,2010,Working class,Too harsh,About right,Mid Atlantic,Yes,White,Male,Lt high school,Married,Someone else
Yes,2010,Middle class,Not harsh enough,NA,Midwest,Yes,White,Male,Bachelor,Married,Someone else
Yes,2010,Middle class,Not harsh enough,Too little,Midwest,Yes,White,Female,Graduate,Married,Someone else
NA,2010,Middle class,About right,NA,Midwest,Yes,White,Female,Graduate,Married,Someone else
Yes,2010,Middle class,NA,Too little,Midwest,Yes,White,Male,Bachelor,Married,Someone else
No,2010,Working class,NA,NA,Midwest,No,White,Female,Graduate,Never Married,Someone else
NA,2010,Middle class,Not harsh enough,Too little,Midwest,Yes,Hispanic,Male,Bachelor,Never Married,Someone else
NA,2010,Middle class,About right,Too little,Midwest,Yes,White,Male,Bachelor,Married,Someone else
No,2010,Working class,Not harsh enough,NA,Midwest,Yes,White,Female,High school,Widowed,Someone else
Yes,2010,Working class,NA,Too little,Midwest,Yes,White,Male,Bachelor,Never Married,Someone else
NA,2010,Middle class,Not harsh enough,Too little,Midwest,Yes,Black,Male,Graduate,Married,Someone else
No,2010,Working class,Too harsh,Too little,Midwest,Yes,White,Female,High school,Never Married,Someone else
Yes,2010,Working class,About right,NA,Midwest,Yes,White,Male,High school,Never Married,Someone else
NA,2010,Middle class,About right,Too little,Midwest,Yes,White,Female,Bachelor,Div/Sep,Someone else
No,2010,Working class,Not harsh enough,NA,Midwest,Yes,White,Female,High school,Married,Someone else
Yes,2010,Middle class,Not harsh enough,Too little,Midwest,Yes,White,Female,High school,Married,Someone else
NA,2010,Middle class,Not harsh enough,NA,Midwest,Yes,White,Female,High school,Married,Someone else
Yes,2010,Middle class,Not harsh enough,Too little,Midwest,Yes,White,Male,Bachelor,Married,Someone else
No,2010,Middle class,Not harsh enough,NA,Midwest,Yes,White,Female,Bachelor,Married,Someone else
NA,2010,Working class,Not harsh enough,NA,Midwest,Yes,White,Female,Bachelor,Div/Sep,Self-employed
NA,2010,Middle class,About right,About right,Midwest,Yes,White,Female,Graduate,Married,Someone else
NA,2010,Middle class,Too harsh,NA,Midwest,Yes,White,Male,High school,Never Married,Someone else
Yes,2010,Middle class,Not harsh enough,Too little,Midwest,Yes,White,Male,High school,Married,Someone else
No,2010,Lower class,Too harsh,NA,West,Yes,White,Female,High school,Never Married,Someone else
No,2010,Middle class,Not harsh enough,Too little,West,Yes,White,Female,Junior college,Div/Sep,Someone else
No,2010,Working class,Not harsh enough,NA,West,Yes,White,Female,Junior college,Div/Sep,Someone else
Yes,2010,Middle class,Not harsh enough,Too little,West,Yes,White,Male,High school,Married,Someone else
NA,2010,Middle class,Not harsh enough,NA,West,Yes,White,Female,High school,Married,Someone else
NA,2010,Working class,Not harsh enough,Too little,West,Yes,Hispanic,Male,Lt high school,Div/Sep,Someone else
NA,2010,Working class,Not harsh enough,NA,West,Yes,White,Female,Junior college,Never Married,Someone else
No,2010,Middle class,Not harsh enough,Too little,West,Yes,Hispanic,Female,Lt high school,Div/Sep,Someone else
NA,2010,Middle class,About right,Too little,West,Yes,Other,Female,Graduate,Married,Someone else
Yes,2010,Middle class,About right,Too little,West,Yes,White,Female,Bachelor,Div/Sep,Someone else
NA,2010,Middle class,NA,Too little,West,Yes,White,Female,Graduate,Married,Someone else
NA,2010,Working class,Not harsh enough,NA,West,No,White,Female,Junior college,Never Married,Someone else
NA,2010,Working class,Not harsh enough,About right,West,Yes,Hispanic,Male,High school,Widowed,Someone else
Yes,2010,Lower class,Not harsh enough,NA,West,Yes,White,Female,High school,Never Married,Someone else
Yes,2010,Working class,NA,Too little,West,Yes,White,Female,Junior college,Div/Sep,Someone else
No,2010,Working class,Not harsh enough,NA,West,Yes,White,Female,High school,Married,Someone else
Yes,2010,Middle class,About right,Too little,West,Yes,White,Female,Graduate,Never Married,Someone else
No,2010,Middle class,About right,About right,West,Yes,White,Male,Graduate,Married,Someone else
Yes,2010,Working class,About right,NA,West,Yes,White,Female,High school,Married,Someone else
No,2010,Working class,Not harsh enough,About right,West,Yes,White,Female,High school,Married,Someone else
NA,2010,Working class,Not harsh enough,NA,West,Yes,White,Female,High school,Married,Someone else
NA,2010,Working class,Not harsh enough,NA,West,Yes,White,Male,High school,Widowed,Self-employed
NA,2010,Middle class,Not harsh enough,Too much,West,Yes,White,Male,Bachelor,Widowed,Someone else
No,2010,Middle class,Not harsh enough,NA,Midwest,Yes,White,Female,Bachelor,Married,Someone else
No,2010,Working class,Not harsh enough,NA,Midwest,Yes,White,Female,High school,Married,Someone else
No,2010,Working class,Not harsh enough,NA,Midwest,Yes,White,Female,High school,Married,Someone else
NA,2010,Middle class,Not harsh enough,Too little,Midwest,Yes,White,Male,Lt high school,Married,Self-employed
No,2010,Working class,Not harsh enough,NA,Midwest,Yes,White,Female,High school,Married,Someone else
NA,2010,Working class,Not harsh enough,Too little,Midwest,Yes,White,Male,High school,Div/Sep,Someone else
NA,2010,Working class,Not harsh enough,NA,Midwest,Yes,White,Female,High school,Married,Someone else
No,2010,Working class,Not harsh enough,NA,Midwest,Yes,White,Female,High school,Never Married,Someone else
NA,2010,Working class,Not harsh enough,NA,Midwest,Yes,White,Female,Graduate,Div/Sep,Self-employed
Yes,2010,Middle class,Not harsh enough,Too little,Midwest,Yes,White,Male,High school,Div/Sep,Someone else
NA,2010,Working class,Not harsh enough,Too little,Midwest,Yes,White,Male,High school,Div/Sep,Someone else
Yes,2010,Working class,Not harsh enough,About right,Midwest,Yes,White,Male,High school,Div/Sep,Self-employed
Yes,2010,Working class,Not harsh enough,NA,Midwest,Yes,White,Male,Lt high school,Married,Someone else
No,2010,Middle class,Not harsh enough,NA,Midwest,Yes,White,Female,High school,Married,Someone else
NA,2010,Middle class,Not harsh enough,NA,Midwest,Yes,White,Male,High school,Married,Someone else
No,2010,Middle class,Not harsh enough,Too little,Midwest,Yes,White,Male,High school,Married,Someone else
No,2010,Lower class,Not harsh enough,Too little,Midwest,Yes,White,Female,High school,Never Married,Someone else
No,2010,Middle class,Not harsh enough,NA,Midwest,Yes,White,Female,High school,Widowed,Self-employed
No,2010,Lower class,Not harsh enough,NA,Midwest,Yes,White,Female,High school,Married,Someone else
No,2010,Working class,Too harsh,Too little,Midwest,Yes,White,Female,High school,Widowed,Someone else
No,2010,Middle class,Not harsh enough,Too little,Midwest,Yes,White,Male,High school,Married,Someone else
No,2010,Middle class,Not harsh enough,Too little,Midwest,Yes,White,Male,High school,Married,Someone else
Yes,2010,Working class,Too harsh,NA,Midwest,No,White,Male,High school,Never Married,Someone else
NA,2010,Middle class,Not harsh enough,NA,Midwest,Yes,White,Male,Graduate,Married,Self-employed
No,2010,Working class,Not harsh enough,NA,Midwest,Yes,White,Female,High school,Div/Sep,Someone else
No,2010,Working class,Not harsh enough,NA,Midwest,Yes,White,Male,High school,Widowed,Someone else
NA,2010,Working class,Not harsh enough,NA,Midwest,Yes,White,Female,Bachelor,Div/Sep,Someone else
NA,2010,Working class,Not harsh enough,Too little,Midwest,Yes,White,Female,Bachelor,Div/Sep,Someone else
NA,2010,Working class,Not harsh enough,NA,Midwest,Yes,White,Male,High school,Married,Self-employed
No,2010,Lower class,Not harsh enough,Too little,Midwest,Yes,White,Female,High school,Widowed,Someone else
No,2010,Lower class,Not harsh enough,NA,Midwest,Yes,White,Female,Lt high school,Widowed,NA
No,2010,Working class,Not harsh enough,NA,Midwest,Yes,White,Female,Bachelor,Married,Someone else
No,2010,Middle class,NA,About right,Midwest,Yes,White,Female,High school,Widowed,Someone else
NA,2010,Middle class,Not harsh enough,NA,Midwest,Yes,White,Female,Junior college,Married,Someone else
No,2010,Working class,Not harsh enough,NA,Midwest,Yes,White,Female,High school,Div/Sep,Someone else
NA,2010,Middle class,Too harsh,About right,Midwest,Yes,White,Male,Lt high school,Married,Self-employed
NA,2010,Working class,Not harsh enough,NA,Midwest,Yes,White,Female,High school,Married,Someone else
NA,2010,Middle class,Not harsh enough,Too little,Midwest,Yes,White,Male,Bachelor,Married,Self-employed
No,2010,Working class,Not harsh enough,NA,Midwest,Yes,White,Female,Junior college,Married,Someone else
No,2010,Working class,Not harsh enough,NA,Midwest,Yes,White,Female,Junior college,Married,Someone else
No,2010,Working class,Not harsh enough,Too little,Midwest,Yes,White,Female,High school,Married,Someone else
No,2010,Working class,Not harsh enough,NA,Midwest,Yes,White,Female,Lt high school,Married,Self-employed
NA,2010,Middle class,Not harsh enough,About right,Midwest,Yes,White,Female,Lt high school,Widowed,Someone else
NA,2010,Lower class,About right,NA,Midwest,Yes,White,Female,Lt high school,Widowed,Someone else
No,2010,Lower class,Not harsh enough,Too much,Midwest,Yes,White,Female,Lt high school,Div/Sep,Someone else
No,2010,Working class,Not harsh enough,NA,Midwest,Yes,White,Female,High school,Married,Someone else
NA,2010,Working class,About right,Too little,Midwest,Yes,White,Female,High school,Married,Someone else
No,2010,Working class,Not harsh enough,Too little,Midwest,Yes,White,Male,Lt high school,Never Married,Someone else
NA,2010,Middle class,Not harsh enough,NA,Midwest,Yes,White,Female,High school,Married,Someone else
No,2010,Middle class,Not harsh enough,Too little,Midwest,Yes,White,Male,Bachelor,Married,Someone else
NA,2010,Working class,Not harsh enough,About right,Midwest,Yes,White,Male,High school,Married,Someone else
Yes,2010,Working class,Not harsh enough,NA,Midwest,Yes,White,Male,High school,Never Married,Someone else
NA,2010,Lower class,Not harsh enough,Too little,Midwest,Yes,White,Male,Lt high school,Married,NA
No,2010,Middle class,Not harsh enough,About right,Midwest,Yes,White,Male,High school,Married,Someone else
NA,2010,Middle class,Not harsh enough,NA,Midwest,Yes,White,Female,Lt high school,Never Married,Self-employed
No,2010,Lower class,Not harsh enough,Too little,Midwest,Yes,White,Male,High school,Div/Sep,Someone else
No,2010,Middle class,Not harsh enough,NA,Midwest,Yes,White,Female,Bachelor,Married,Someone else
Yes,2010,Middle class,Not harsh enough,NA,Midwest,Yes,White,Male,High school,Div/Sep,Someone else
Yes,2010,Working class,Not harsh enough,Too little,Midwest,Yes,White,Male,Lt high school,Married,Self-employed
No,2010,Middle class,Not harsh enough,NA,Midwest,Yes,White,Female,High school,Married,Someone else
Yes,2010,Working class,Not harsh enough,NA,Midwest,Yes,White,Male,High school,Married,Self-employed
NA,2010,Lower class,Not harsh enough,NA,Midwest,Yes,White,Female,Lt high school,Married,NA
No,2010,Working class,Not harsh enough,NA,Midwest,Yes,White,Male,High school,Married,Someone else
NA,2010,Middle class,Not harsh enough,About right,Midwest,Yes,White,Female,Lt high school,Widowed,Self-employed
No,2010,Working class,Not harsh enough,Too little,Midwest,No,Other,Male,High school,Married,Someone else
NA,2010,Middle class,Not harsh enough,NA,Midwest,Yes,White,Female,High school,Married,Someone else
NA,2010,Middle class,Not harsh enough,Too little,Midwest,Yes,White,Male,Bachelor,Married,Someone else
No,2010,Middle class,About right,NA,Midwest,Yes,White,Female,Bachelor,Married,Someone else
No,2010,Middle class,Not harsh enough,Too little,Midwest,Yes,White,Male,Bachelor,Div/Sep,Someone else
No,2010,Middle class,About right,About right,Midwest,Yes,White,Male,Lt high school,Married,Someone else
NA,2010,Middle class,Not harsh enough,Too little,Midwest,Yes,White,Male,Graduate,Married,Someone else
No,2010,Middle class,Not harsh enough,NA,Midwest,Yes,White,Female,Bachelor,Married,Someone else
No,2010,Working class,Not harsh enough,Too little,Midwest,Yes,White,Female,Bachelor,Never Married,Someone else
NA,2010,Middle class,Not harsh enough,Too little,Midwest,Yes,White,Female,High school,Married,Someone else
NA,2010,Working class,Not harsh enough,Too little,Midwest,Yes,White,Male,High school,Widowed,Self-employed
No,2010,Working class,About right,About right,Midwest,Yes,White,Male,High school,Married,Self-employed
Yes,2010,Middle class,Not harsh enough,NA,Midwest,Yes,White,Male,Lt high school,Never Married,Someone else
NA,2010,Working class,Not harsh enough,NA,Midwest,Yes,White,Male,High school,Married,Someone else
Yes,2010,Middle class,Not harsh enough,NA,Midwest,Yes,White,Male,Lt high school,Married,Someone else
No,2010,Working class,NA,Too little,Southeast,Yes,White,Male,High school,Married,Someone else
NA,2010,Middle class,About right,Too little,Southeast,Yes,White,Female,High school,Div/Sep,Someone else
NA,2010,Middle class,Not harsh enough,NA,Southeast,Yes,White,Male,Junior college,Married,Someone else
No,2010,Working class,Too harsh,Too little,Southeast,Yes,Black,Male,High school,Married,Someone else
Yes,2010,Working class,About right,NA,Southeast,Yes,White,Female,High school,Never Married,NA
Yes,2010,Middle class,About right,NA,Southeast,Yes,White,Male,Graduate,Never Married,Someone else
NA,2010,Working class,Not harsh enough,About right,Southeast,Yes,White,Male,High school,Married,Someone else
No,2010,Middle class,NA,Too little,Southeast,Yes,White,Male,High school,Div/Sep,Someone else
NA,2010,Working class,Too harsh,NA,Southeast,Yes,Black,Female,Graduate,Married,Someone else
No,2010,Working class,Too harsh,About right,Southeast,Yes,Black,Male,Lt high school,Married,Someone else
NA,2010,Working class,Not harsh enough,Too little,Southeast,No,Black,Male,High school,Never Married,Someone else
No,2010,Working class,About right,About right,Southeast,Yes,Black,Female,Lt high school,Never Married,Someone else
NA,2010,Upper class,Not harsh enough,About right,Southeast,Yes,White,Female,Lt high school,Div/Sep,Someone else
Yes,2010,Working class,NA,NA,Southeast,Yes,Black,Male,High school,Married,Someone else
No,2010,Working class,About right,NA,Southeast,No,Hispanic,Female,High school,Married,Self-employed
No,2010,Lower class,Not harsh enough,NA,Southeast,Yes,White,Female,High school,Div/Sep,Someone else
NA,2010,Lower class,Not harsh enough,Too little,Southeast,Yes,White,Female,Lt high school,Married,Self-employed
NA,2010,Middle class,About right,Too little,Southeast,Yes,White,Male,Junior college,Never Married,Someone else
Yes,2010,Working class,About right,Too little,Southeast,Yes,White,Female,Lt high school,Married,Someone else
NA,2010,Working class,Not harsh enough,NA,Southeast,Yes,White,Male,High school,Div/Sep,Someone else
Yes,2010,Working class,About right,Too little,Southeast,Yes,White,Male,High school,Married,Someone else
No,2010,Middle class,Not harsh enough,NA,Southeast,Yes,White,Female,High school,Married,Someone else
NA,2010,Working class,Not harsh enough,Too little,Southeast,Yes,White,Female,High school,Married,Someone else
NA,2010,Working class,Not harsh enough,NA,Southeast,Yes,White,Female,High school,Married,Self-employed
No,2010,Working class,Not harsh enough,NA,Southeast,Yes,Black,Female,High school,Div/Sep,Someone else
NA,2010,Working class,Not harsh enough,Too little,Southeast,Yes,White,Male,High school,Married,Someone else
No,2010,Middle class,Not harsh enough,NA,Southeast,Yes,White,Female,High school,Widowed,Someone else
NA,2010,Working class,Not harsh enough,About right,Southeast,Yes,White,Male,Junior college,Married,Someone else
NA,2010,Working class,Not harsh enough,NA,Southeast,Yes,White,Female,Lt high school,Married,Someone else
NA,2010,Middle class,Not harsh enough,Too little,Southeast,Yes,White,Male,High school,Married,Someone else
NA,2010,Middle class,Not harsh enough,NA,Southeast,Yes,White,Female,Bachelor,Div/Sep,Someone else
Yes,2010,Working class,About right,Too much,Southeast,Yes,White,Male,Junior college,Married,Self-employed
No,2010,Working class,Not harsh enough,Too little,Southeast,Yes,White,Male,High school,Married,Someone else
NA,2010,Working class,Not harsh enough,Too little,Southeast,No,Black,Male,High school,Married,Someone else
No,2010,Working class,Not harsh enough,Too little,Southeast,Yes,White,Male,Lt high school,Never Married,Someone else
NA,2010,Middle class,Not harsh enough,Too much,Southeast,Yes,White,Male,High school,Married,Someone else
No,2010,Working class,Not harsh enough,NA,Midwest,Yes,White,Male,Lt high school,Married,Someone else
No,2010,Working class,About right,NA,Midwest,Yes,White,Female,High school,Married,Someone else
NA,2010,Working class,Not harsh enough,NA,Midwest,Yes,White,Female,Lt high school,Married,Someone else
No,2010,Lower class,About right,NA,Midwest,Yes,White,Female,Lt high school,Div/Sep,Someone else
No,2010,Working class,Not harsh enough,About right,Midwest,Yes,White,Male,Lt high school,Married,Someone else
NA,2010,Working class,Not harsh enough,NA,Midwest,Yes,White,Male,Bachelor,Widowed,Someone else
No,2010,Middle class,Not harsh enough,Too little,Midwest,Yes,White,Female,Lt high school,Widowed,Someone else
NA,2010,Working class,Too harsh,Too little,Midwest,Yes,Black,Male,Lt high school,Never Married,Someone else
NA,2010,Middle class,Not harsh enough,NA,Midwest,Yes,White,Female,Junior college,Div/Sep,Someone else
Yes,2010,Working class,Not harsh enough,NA,Midwest,Yes,White,Female,High school,Married,Someone else
NA,2010,Working class,Not harsh enough,Too little,Midwest,Yes,White,Male,High school,Married,Someone else
No,2010,Working class,Not harsh enough,NA,Midwest,Yes,White,Male,High school,Married,Someone else
No,2010,Middle class,Not harsh enough,Too little,Midwest,Yes,White,Female,High school,Div/Sep,Someone else
NA,2010,Working class,Not harsh enough,NA,Midwest,Yes,White,Male,Bachelor,Married,Someone else
NA,2010,Working class,About right,Too little,Midwest,Yes,White,Male,High school,Div/Sep,Someone else
No,2010,Middle class,Not harsh enough,Too little,Midwest,Yes,White,Female,High school,Married,Someone else
No,2010,Working class,Not harsh enough,NA,Midwest,Yes,White,Male,High school,Div/Sep,Self-employed
No,2010,Middle class,Not harsh enough,Too little,Midwest,Yes,White,Female,High school,Married,Someone else
NA,2010,Lower class,Not harsh enough,NA,Midwest,Yes,White,Female,High school,Married,Someone else
NA,2010,Working class,Not harsh enough,Too little,Midwest,Yes,White,Male,Lt high school,Married,Someone else
NA,2010,Middle class,Not harsh enough,NA,Midwest,Yes,White,Male,High school,Never Married,Someone else
NA,2010,Working class,Not harsh enough,Too much,Midwest,Yes,White,Male,High school,Married,Someone else
NA,2010,Working class,About right,NA,Midwest,Yes,White,Female,Lt high school,Married,Someone else
NA,2010,Working class,NA,NA,Midwest,Yes,White,Female,High school,Widowed,Someone else
NA,2010,Working class,Not harsh enough,NA,Southeast,Yes,White,Female,High school,Married,Someone else
No,2010,Middle class,About right,Too little,Southeast,Yes,White,Male,Bachelor,Married,Someone else
NA,2010,Working class,Not harsh enough,Too little,Southeast,Yes,White,Female,High school,Never Married,Self-employed
NA,2010,Middle class,Not harsh enough,NA,Southeast,Yes,White,Female,High school,Div/Sep,Someone else
Yes,2010,Middle class,Not harsh enough,Too little,Southeast,Yes,White,Female,Bachelor,Married,Someone else
Yes,2010,Working class,NA,NA,Southeast,Yes,White,Female,High school,Married,Someone else
Yes,2010,Middle class,Not harsh enough,NA,Southeast,Yes,White,Female,High school,Married,Someone else
No,2010,Middle class,Not harsh enough,NA,Southeast,Yes,White,Female,Graduate,Married,Someone else
Yes,2010,Working class,Not harsh enough,NA,Southeast,Yes,White,Female,Graduate,Married,Someone else
Yes,2010,Working class,About right,NA,Southeast,Yes,White,Female,High school,Div/Sep,Someone else
NA,2010,Working class,Not harsh enough,About right,Midwest,Yes,Black,Male,Lt high school,Never Married,Someone else
Yes,2010,Lower class,Too harsh,Too little,Midwest,Yes,Black,Female,High school,Never Married,NA
No,2010,Working class,Too harsh,NA,Midwest,Yes,Black,Female,High school,Never Married,Someone else
NA,2010,Middle class,Not harsh enough,Too little,Midwest,Yes,Black,Female,Bachelor,Div/Sep,Someone else
No,2010,Working class,Not harsh enough,About right,Midwest,Yes,Black,Female,Lt high school,Div/Sep,Someone else
NA,2010,Middle class,NA,NA,Midwest,Yes,Black,Female,Bachelor,Married,Someone else
NA,2010,Lower class,NA,NA,Midwest,Yes,Black,Female,Lt high school,Never Married,NA
NA,2010,NA,NA,NA,Midwest,Yes,White,Female,Lt high school,Married,Someone else
Yes,2010,Working class,Not harsh enough,Too little,Midwest,Yes,White,Female,Lt high school,Widowed,Someone else
No,2010,Lower class,Too harsh,NA,Midwest,Yes,Black,Male,Lt high school,Never Married,Someone else
NA,2010,Working class,Not harsh enough,Too little,Midwest,Yes,White,Male,High school,Married,Someone else
No,2010,Middle class,Not harsh enough,NA,Midwest,Yes,White,Female,High school,Married,Someone else
Yes,2010,Middle class,Not harsh enough,NA,Midwest,Yes,White,Female,High school,Married,Someone else
Yes,2010,Middle class,Too harsh,NA,Midwest,Yes,White,Female,High school,Div/Sep,Someone else
No,2010,Working class,Not harsh enough,NA,Midwest,Yes,White,Male,High school,Married,Self-employed
No,2010,Middle class,Not harsh enough,About right,Midwest,Yes,White,Female,Junior college,Married,Someone else
No,2010,Working class,About right,Too little,Midwest,Yes,White,Male,Bachelor,Div/Sep,Self-employed
Yes,2010,Working class,About right,Too little,Midwest,Yes,White,Female,Bachelor,Div/Sep,Self-employed
No,2010,Working class,Not harsh enough,Too much,Midwest,Yes,White,Female,High school,Widowed,Someone else
NA,2010,Working class,Not harsh enough,NA,Midwest,Yes,White,Female,Graduate,Married,Someone else
NA,2010,Working class,Not harsh enough,About right,Midwest,Yes,White,Male,High school,Div/Sep,Someone else
No,2010,Middle class,Not harsh enough,NA,Midwest,Yes,White,Female,Bachelor,Widowed,Someone else
No,2010,Middle class,Not harsh enough,Too little,Midwest,Yes,Black,Male,Lt high school,Widowed,Someone else
Yes,2010,Working class,Not harsh enough,Too little,Midwest,Yes,White,Female,High school,Div/Sep,Someone else
NA,2010,Middle class,About right,About right,Midwest,Yes,White,Male,Bachelor,Married,Someone else
NA,2010,Working class,Too harsh,NA,Midwest,Yes,Black,Female,High school,Never Married,Someone else
NA,2010,Working class,NA,NA,Midwest,Yes,Black,Female,High school,Never Married,Someone else
NA,2010,Working class,Too harsh,Too much,Midwest,Yes,White,Female,High school,Widowed,Someone else
Yes,2010,Lower class,Too harsh,NA,Midwest,Yes,Black,Male,Lt high school,Never Married,Someone else
Yes,2010,Middle class,Not harsh enough,NA,Midwest,Yes,Black,Male,High school,Never Married,Someone else
Yes,2010,Middle class,Too harsh,NA,Midwest,Yes,Black,Male,Lt high school,Married,Someone else
Yes,2010,Middle class,Too harsh,NA,Midwest,Yes,Black,Male,Lt high school,Never Married,NA
NA,2010,Lower class,Too harsh,NA,Midwest,Yes,Black,Female,High school,Never Married,NA
No,2010,Working class,Too harsh,Too little,Midwest,Yes,Black,Female,High school,Div/Sep,Someone else
No,2010,Working class,Not harsh enough,NA,Midwest,Yes,Black,Female,Bachelor,Married,Someone else
NA,2010,Working class,Not harsh enough,Too little,Midwest,Yes,Black,Female,High school,Div/Sep,Someone else
No,2010,Lower class,Not harsh enough,Too little,Midwest,Yes,Black,Female,High school,Never Married,NA
No,2010,Lower class,Not harsh enough,Too little,Midwest,Yes,Black,Female,Lt high school,Never Married,Someone else
NA,2010,Working class,Not harsh enough,NA,Midwest,Yes,Black,Male,High school,Never Married,Someone else
NA,2010,Upper class,Not harsh enough,Too little,Midwest,Yes,White,Female,High school,Married,Someone else
No,2010,Working class,Not harsh enough,About right,Southeast,Yes,White,Female,High school,Married,Someone else
No,2010,Working class,Not harsh enough,NA,Southeast,Yes,White,Female,High school,Div/Sep,Someone else
NA,2010,Working class,About right,Too little,Southeast,Yes,White,Female,High school,Div/Sep,Someone else
No,2010,Middle class,Not harsh enough,About right,Southeast,Yes,White,Female,Bachelor,Widowed,Someone else
NA,2010,Working class,About right,NA,Southeast,Yes,White,Female,High school,Married,Someone else
Yes,2010,Working class,Not harsh enough,NA,Southeast,Yes,White,Male,High school,Married,Self-employed
No,2010,Working class,About right,NA,Southeast,Yes,White,Male,Lt high school,Married,Someone else
Yes,2010,Working class,Not harsh enough,NA,Southeast,Yes,White,Male,High school,Married,Self-employed
No,2010,Lower class,About right,Too little,Southeast,Yes,White,Male,Lt high school,Div/Sep,Someone else
Yes,2010,Working class,NA,Too little,Southeast,Yes,White,Female,Graduate,Div/Sep,Someone else
Yes,2010,Middle class,About right,About right,Southeast,Yes,White,Male,Junior college,Married,Someone else
NA,2010,Middle class,About right,NA,Southeast,Yes,White,Female,High school,Married,Someone else
No,2010,Working class,Not harsh enough,NA,Southeast,Yes,White,Male,High school,Widowed,Someone else
No,2010,Working class,Not harsh enough,About right,Southeast,Yes,Black,Female,Junior college,Div/Sep,Someone else
NA,2010,Middle class,Not harsh enough,NA,Southeast,Yes,Black,Female,Junior college,Never Married,Someone else
No,2010,Middle class,About right,Too little,Southeast,Yes,Black,Female,High school,Never Married,Someone else
Yes,2010,Working class,About right,NA,Southeast,Yes,White,Female,Junior college,Married,Someone else
No,2010,Middle class,About right,NA,Southeast,Yes,Black,Male,Lt high school,Never Married,Someone else
No,2010,Working class,About right,About right,Southeast,Yes,Black,Female,High school,Never Married,Someone else
NA,2010,Working class,NA,NA,Southeast,Yes,Black,Female,High school,Never Married,Someone else
No,2010,Working class,About right,NA,Southeast,Yes,Black,Male,High school,Never Married,NA
No,2010,Middle class,Not harsh enough,Too little,Southeast,Yes,Black,Male,High school,Married,Someone else
